iter	AUC	Logloss
70	0.8068186318	0.5302885945
71	0.8072017063	0.5299056013
72	0.8074200941	0.5296482453
73	0.8075617978	0.5294238471
74	0.8077640701	0.5290634038
75	0.8078419765	0.5288611226
76	0.8083762417	0.5283010727
77	0.8085430024	0.5280497134
78	0.8088119385	0.527719011
79	0.8092359467	0.5272610439
80	0.8098425367	0.5267109374
81	0.8100302063	0.5264180117
82	0.8103236461	0.5260331793
83	0.8104388873	0.5258696314
84	0.8106883477	0.5254817952
85	0.8110459033	0.5251309138
86	0.8113287414	0.5248183839
87	0.8116390849	0.5244711127
88	0.8118426989	0.5241132756889	0.8121644483	0.523613755
90	0.8121920931	0.5235193259
91	0.812395723	0.5232610624
92	0.8126877335	0.52288945
93	0.8129374726	0.5226490206
94	0.8133138509	0.5222396946
95	0.8135687933	0.5219764746
96	0.8137622275	0.5217865431
97	0.8138957819	0.5215381043
98	0.814148041	0.5211633595
99	0.8143874292	0.5208977505
100	0.8145639676	0.5206422403
101	0.8148116087	0.5203504004
102	0.8150753693	0.5200394201
103	0.8153385327	0.5197455207
104	0.8155181962	0.5195651941
105	0.8158277754	0.5192581437
106	0.8161232336	0.5189914564
107	0.8164391866	0.5186815434
108	0.8165896925	0.5184681618
109	0.8168196136	0.5182002873
110	0.8170707939	0.5178116822
111	0.8173438822	0.517484512
112	0.8176317006	0.5171427672
113	0.8179796697	0.5167675765
114	0.8183995017	0.5163802487
115	0.8188259425	0.5159616247
116	0.8190257146	0.5157462301
117	0.8192242447	0.5155393409
118	0.819450754	0.515187956
119	0.8199995542	0.5148272306
120	0.8202152508	0.5144875952
121	0.820441155	0.5142716609
122	0.8207358209	0.513902886
123	0.8211308388	0.5135676541
124	0.8214372689	0.513258437
125	0.8216850294	0.5129560789
126	0.8219673419	0.5125918469
127	0.8222896089	0.5123403349
128	0.8225693457	0.5120163163
129	0.8228670094	0.5116630706
130	0.8233473464	0.5113046522
131	0.8237453421	0.5109276141
132	0.8238562957	0.5107477025
133	0.8240890115	0.5105065408
134	0.8244562929	0.5101019688
