iter	Accuracy	Logloss
0	0.7893258427	0.6764156747
1	0.7963483146	0.6600769078
2	0.808988764	0.6431485159
3	0.8019662921	0.6290698192
4	0.8019662921	0.6166209153
5	0.8047752809	0.6024217926
6	0.8033707865	0.591974812
7	0.8061797753	0.5802889775
8	0.8047752809	0.5701063297
9	0.8033707865	0.5604762065
10	0.8103932584	0.5527478352
11	0.8103932584	0.5451438733
12	0.8132022472	0.5371406157
13	0.8202247191	0.5298619727
14	0.8216292135	0.5234288436
15	0.8230337079	0.5147021285
16	0.8244382022	0.5063257741
17	0.8258426966	0.4999748082
18	0.8286516854	0.4920620429
19	0.8286516854	0.4858147152
20	0.8286516854	0.482796651
21	0.827247191	0.4782455072
22	0.827247191	0.4711082846
23	0.827247191	0.4664966814
24	0.827247191	0.4640208708
25	0.827247191	0.4605632778
26	0.8258426966	0.4571592875
27	0.8300561798	0.451217187
28	0.8300561798	0.4477344799
29	0.8286516854	0.4433205981
30	0.8286516854	0.4385298455
31	0.8286516854	0.4359321684
32	0.8286516854	0.4330865844
33	0.8286516854	0.4314209358
34	0.8286516854	0.4280464974
35	0.8286516854	0.4265269069
36	0.8286516854	0.4249057604
37	0.8286516854	0.4235683796
38	0.827247191	0.4217467938
39	0.827247191	0.4215347806
40	0.8286516854	0.4198779163
41	0.827247191	0.4185327837
42	0.827247191	0.4171592476
43	0.8258426966	0.4161562527
44	0.8258426966	0.4136540852
45	0.827247191	0.4105430321
46	0.8286516854	0.4100660818
47	0.8286516854	0.4098533347
48	0.8286516854	0.4094180202
49	0.8286516854	0.4089736765
50	0.8286516854	0.4075647298
51	0.8286516854	0.4066124346
52	0.8286516854	0.4061394648
53	0.827247191	0.4056765514
54	0.827247191	0.4053512181
55	0.827247191	0.4030926275
56	0.827247191	0.4015384827
57	0.827247191	0.4010422078
58	0.827247191	0.3998831664
59	0.8300561798	0.3989323362
60	0.8300561798	0.3981020916
61	0.8286516854	0.3978206878
62	0.8286516854	0.3968897847
63	0.827247191	0.3963737255
64	0.8286516854	0.3962514958
65	0.8286516854	0.3954211231
66	0.8300561798	0.3946605538
67	0.8300561798	0.3946436336
68	0.8314606742	0.3942921669
69	0.8300561798	0.3932115341
70	0.8300561798	0.3926150866
71	0.8300561798	0.3913387008
72	0.8314606742	0.390124349
73	0.8314606742	0.3899305934
74	0.8328651685	0.3893888914
75	0.8328651685	0.3880186697
76	0.8342696629	0.3876688073
77	0.8398876404	0.3854217474
78	0.8412921348	0.3842917347
79	0.8426966292	0.382910291
80	0.8426966292	0.3818517203
81	0.8426966292	0.3810529855
82	0.8441011236	0.3797701876
83	0.8426966292	0.3786486304
84	0.8412921348	0.3781927578
85	0.8426966292	0.3778435044
